# T-181 wave plan — WHICH slices run together, and in what order.
3	T-181.9.1	Lobby / slot picker UI (supersedes T-068.13)	Scripts/Game/TBD/UI/Lobby/** (new)
3	T-181.11.2	Admin menu (respawn/teleport/broadcast/heal/settings)	Scripts/Game/TBD/UI/Admin/** (new)
3	T-181.23	Mission-doc parser gaps: briefings prose, zone label, stage hook	TBD_MissionLoader.c, TBD_FrameworkManager.c
4	T-181.15	Dedicated / JIP reconnect reclaim	TBD_SpawnManager.c
4	T-181.17	Safestart / warmup + damage-off	TBD_FrameworkManager.c
4	T-181.20	Golden mission fixture with loadout block (schema CI gap)	packages/tbd-schema/golden-missions/**
5	T-181.24	Spectator streaming host (possess a dummy so the free cam sees the world)	TBD_SpawnManager.c
5	T-181.18	AO / play area poly-zones + out-of-bounds	Scripts/Game/TBD/Zones/** (new)
5	T-181.19	Map markers from mission JSON	Scripts/Game/TBD/Markers/** (new)
6	T-181.32	ONE LIFE fail-open on dedicated w/o backend identity	TBD_SpawnManager.c
6	T-181.27	Briefing ORDERS section (consume the prose T-181.23 parsed)	Scripts/Game/TBD/UI/TBD_Briefing*.c
6	T-181.13.1	Thin end-of-round results POST	Scripts/Game/TBD/Backend/** (new)
7	T-181.26	Briefing wire-format sentinel (string.Split empty-token fragility)	Scripts/Game/TBD/UI/TBD_BriefingData.c
7	T-181.28	Briefing JIP catch-up (push-only has no late-join path)	Scripts/Game/TBD/UI/TBD_BriefingController.c
7	T-181.31	Validate the /compiled document before serving it to the mod	apps/website/api/src/handlers/missions.rs
8	T-181.29	Lobby raise must skip already-deployed players	Scripts/Game/TBD/UI/Lobby/**
8	T-181.33	Safestart Restore must restore prior value, not force true	TBD_SafestartManager.c
8	T-181.34	Cargo container enum in mission schema	packages/tbd-schema/**
9	T-181.30	Truth-in-comments + audit-ring hardening	Scripts/Game/TBD/Gamemode/**
9	T-181.35	In-game identity linking (#tbd link) — makes attendance real	Scripts/Game/TBD/Backend/** + chat
9	T-181.36	slot-loadout-coverage.json is rejected at runtime (kit:us_medic)	packages/tbd-schema/golden-missions/**
10	T-181.37	Validator must refuse end triggers the mod cannot evaluate	Scripts/Game/TBD/Backend/TBD_MissionValidator.c
10	T-181.38	Parse + honour the flow block (timeLimit, safeStart, briefing, jip)	Scripts/Game/TBD/Gamemode/TBD_FrameworkManager.c
10	T-181.39	Objectives — capture/destroy/hold (spine capability #9)	Scripts/Game/TBD/Objectives/** (new)
10	T-181.40	Radio plan from radioPlan.nets[] (replace the stub)	Scripts/Game/TBD/Radio/**
