spec_file_final_path	ticket	field	value	reason
documentation_v2/tickets/specs/t068_0_1_registry_schemas.md	T-068.0.1	spec	documentation_v2/tickets/specs/t068_0_1_registry_schemas.md	ticket has no spec; spec H1 "T-068.0.1 — Registry JSON schemas + golden fixtures" names this slice and matches ticket title "Registry-items and loadout-export JSON schemas"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_1_workbench_flat_export.md	T-068.1	spec	documentation_v2/tickets/specs/t068_1_workbench_flat_export.md	ticket has no spec; spec H1 "T-068.1 — Workbench flat ResourceName export (MCP-driven)" names this slice and matches ticket title "Workbench MCP flat registry-items export"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_2_registry_api.md	T-068.2	spec	documentation_v2/tickets/specs/t068_2_registry_api.md	ticket has no spec; spec H1 "T-068.2 — Registry API + dev seed + import" names this slice and matches ticket title "Registry API dev seed import CLI"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_3_palette_wire.md	T-068.3	spec	documentation_v2/tickets/specs/t068_3_palette_wire.md	ticket has no spec; spec H1 "T-068.3 — Wire Factions palette to live registry" names this slice and matches ticket title "Wire Factions palette to live registry"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_4_dumb_loadout_ui.md	T-068.4	spec	documentation_v2/tickets/specs/t068_4_dumb_loadout_ui.md	ticket has no spec; spec H1 "T-068.4 — Dumb loadout picker + JSON download" names this slice and matches ticket title "Dumb Arsenal loadout picker JSON download"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_5_mod_equip_loadout.md	T-068.5	spec	documentation_v2/tickets/specs/t068_5_mod_equip_loadout.md	ticket has no spec; spec H1 "T-068.5 — Mod equip from loadout-export JSON" names this slice and matches ticket title "Mod equip loadout-export JSON on NPC"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_5_1_visual_equip_fix.md	T-068.5.1	spec	documentation_v2/tickets/specs/t068_5_1_visual_equip_fix.md	ticket has no spec; spec H1 "T-068.5.1 — Visual loadout equip fix (make-or-break)" names this slice and matches ticket title "Visual loadout equip wear-verify fix"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_6_phase1_e2e_gate.md	T-068.6	spec	documentation_v2/tickets/specs/t068_6_phase1_e2e_gate.md	ticket has no spec; spec H1 "T-068.6 — Phase 1 E2E human gate" names this slice and matches ticket title "Phase 1 E2E human gate sign-off"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_7_compat_matrix_spec.md	T-068.7	spec	documentation_v2/tickets/specs/t068_7_compat_matrix_spec.md	ticket has no spec; spec H1 "T-068.7 — Compat matrix spec (Phase 2 docs)" names this slice and matches ticket title "Compat matrix spec Phase 2 docs"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_8_workbench_compat_export.md	T-068.8	spec	documentation_v2/tickets/specs/t068_8_workbench_compat_export.md	ticket has no spec; spec H1 "T-068.8 — Workbench compat matrix export" names this slice and matches ticket title "Workbench compat matrix export"; child file (ticket check --strict does not validate it); citations already name the file by basename
documentation_v2/tickets/specs/t068_13_mod_slotting_screen_poc.md	T-068.13	spec	documentation_v2/tickets/specs/t068_13_mod_slotting_screen_poc.md	ticket has no spec; spec H1 "T-068.13 — Mod LOBBY slot picker (production UI)" names this slice and matches ticket title "Mod LOBBY production slot picker"; child file (ticket check --strict does not validate it); the spec keeps _poc in its file name for link stability (its own note); ticket is cancelled; its citations do not name this file
documentation_v2/tickets/specs/t068_14_phase2_e2e_gate.md	T-068.14	spec	documentation_v2/tickets/specs/t068_14_phase2_e2e_gate.md	ticket has no spec; spec H1 "T-068.14 — Phase 2 E2E gate (editor → player)" names this slice and matches ticket title "Phase 2 E2E gate editor to player"; child file (ticket check --strict does not validate it); ticket is queued (executor human); citations already name the file by basename
documentation_v2/tickets/specs/t068_asset_registry.md	T-068.0	citations	Design: documentation_v2/tickets/specs/t068_asset_registry.md.	superseded stub of the original T-068 registry spec (added in 1b00346a); it sends readers to t068_virtual_arsenal_program.md, the hub T-068.0 (Virtual Arsenal program hub and specs) published and already cites
documentation_v2/tickets/specs/t090_1_2_satellite_backlog.md	T-090.1.2	citations	Design: documentation_v2/tickets/specs/t090_1_2_satellite_backlog.md.	H1 names the T-090.1.2.x satellite slice family (resume guide); T-090.1.2 (SAP supertexture satellite ortho) is that family's root slice
documentation_v2/tickets/specs/t090_basemap_dual_view.md	T-090.1.1	citations	Design: documentation_v2/tickets/specs/t090_basemap_dual_view.md.	spec header lists T-090.1 and T-090.1.1; T-090.1.1 (Map cartographic view, pyramid + UI switch) shipped the Map/Satellite switch this spec defines
documentation_v2/tickets/specs/t090_legacy_raster_pipeline.md	T-090.10	citations	Design: documentation_v2/tickets/specs/t090_legacy_raster_pipeline.md.	added by the T-090.10 pivot commit 5e7bfed5 (cancel legacy raster slices), which T-090.10 already cites; spec is superseded by t090_10_map_engine_v2.md, T-090.10's spec
documentation_v2/tickets/specs/t090_phased_object_import.md	T-090.3	citations	Design: documentation_v2/tickets/specs/t090_phased_object_import.md.	spec status says it gates T-090.3 export (and T-090.5 render); T-090.3 (Map asset export) holds the phase-by-phase export whose slices T-090.3.1-3.3 shipped
documentation_v2/tickets/specs/t090_render_lod_contract.md	T-090.10.1	citations	Design: documentation_v2/tickets/specs/t090_render_lod_contract.md.	spec status says v2 locked at the T-090.10.1 plan @ a222a146, the commit T-090.10.1 cites; the v2 rewrite landed in 961dcfa7 (T-090.10.1 doc sync). T-639 and T-711 cite its N3 section by stem only
documentation_v2/tickets/specs/t090_terrain_export_pipeline.md	T-090.3	citations	Design: documentation_v2/tickets/specs/t090_terrain_export_pipeline.md.	spec header names Ticket T-090, Slice T-090.3 (automation contract)
documentation_v2/tickets/specs/t090_world_object_glyphs.md	T-090.5	citations	Design: documentation_v2/tickets/specs/t090_world_object_glyphs.md.	spec status says it ships with T-090.5 render; its authority t090_5_map_object_render_layer.md is T-090.5's spec
documentation_v2/tickets/specs/t090_world_objects_worker.md	T-090.5.3	citations	Design: documentation_v2/tickets/specs/t090_world_objects_worker.md.	spec status says shipped @ 155651b9 (T-090.5.3); T-090.5.3 (Comlink worker chunk fetch/parse) has shipped_at 155651b9
documentation_v2/tickets/specs/t090_world_object_type_inventory.md	T-090.0.2	citations	Design: documentation_v2/tickets/specs/t090_world_object_type_inventory.md.	the census spec; added by T-090.0.2's own commit 41fb7d0c, whose main_goal is map-object schemas, verify gates and exact-count census
documentation_v2/tickets/specs/t180_class_r_pins.md	T-180.0	citations	Design: documentation_v2/tickets/specs/t180_class_r_pins.md.	added by 788eb908 (program hub, Class-R pins), the commit T-180.0 cites; T-180.0 summary and acceptance name the Class-R pin table
documentation_v2/tickets/specs/t060_1_scale_load_save_completion.md	T-060	citations	Design: documentation_v2/tickets/specs/t060_1_scale_load_save_completion.md.	T-060.1 has no ticket file; spec covers T-060 plus its T-060.1-1.4 acceptance, shipped under tag T-060 (b1fd25a); T-060 is the operator-named home
documentation_v2/tickets/specs/t062_1_idb_streaming_load.md	T-062	citations	Design: documentation_v2/tickets/specs/t062_1_idb_streaming_load.md.	T-062.1 has no ticket file; spec is a T-062 follow-on (chunked IDB slot restore); T-062 is the operator-named home
documentation_v2/tickets/specs/t062_1_1_batch_save.md	T-062	citations	Design: documentation_v2/tickets/specs/t062_1_1_batch_save.md.	T-062.1.1 has no ticket file; spec is a T-062 follow-on (ORBAT payload dedup on save); T-062 is the operator-named home
documentation_v2/tickets/specs/t062_2_editor_session_persistence.md	T-062	citations	Design: documentation_v2/tickets/specs/t062_2_editor_session_persistence.md.	T-062.2 has no ticket file; spec is a T-062 follow-on (editor session persistence); T-062 is the operator-named home
