# T-181.2.1 — TBD verdict for every CRF capability. HAND-AUTHORED; product judgement.
#
# Reforger ships no lobby, briefing, slotting, respawn, spectator or admin tooling. CRF is a
# working framework that covers that ground, so every CRF source file must carry an explicit
# TBD verdict here. `enf capability` fails when any file matches no rule (UNTRIAGED) — that
# is how a forgotten subsystem becomes a build error instead of a surprise before an event.
#
# LONGEST PREFIX WINS, so a broad directory rule can be overridden by a specific file.
# Verdicts: BUILD | HAVE | PARTIAL | REPLACE | LATER | SKIP | DEFERRED
#   DEFERRED means out of scope BY OPERATOR WORD — see docs/mod/TBD_MOD_DESIGN.md §Deferrals.
#
prefix	capability	verdict	note
# ── spine: the event loop ────────────────────────────────────────────────────────────────
Scripts/Game/Systems/Core/Managers/Gamemode/CRF_SlottingManager.c	Lobby / slotting authority	BUILD	claim/release/lock; per-side counts from mission JSON
Scripts/Game/Systems/Core/Managers/Gamemode/CRF_RespawnManager.c	Spawn / respawn	BUILD	TBD is ONE LIFE; CRF is wave/ticket. Diverges deliberately.
Scripts/Game/Systems/Core/Managers/Gamemode/CRF_SafestartManager.c	Safestart / warmup	BUILD	weapons safe + damage off until go
Scripts/Game/Systems/Core/Entities/CRF_Gamemode.c	Gamemode state machine	BUILD	LOBBY->BRIEF->SAFESTART->LIVE->END
Scripts/Game/Systems/Core/Entities/Characters/CRF_SpectatorCharacter.c	Spectator	BUILD	mandatory under one-life
Scripts/Game/Systems/Core/Entities/CRF_SpectatorCamera.c	Spectator	BUILD	free cam / follow
Scripts/Game/Systems/UI/Menus/Spectator	Spectator	BUILD	unit list + labels
Scripts/Game/Systems/UI/Menus/CRF_SlottingMenu.c	Lobby / slot picker UI	BUILD	macOS methodology + Aegis tokens; supersedes T-068.13
Scripts/Game/Systems/UI/Menus/CRF_BriefingMenu.c	Briefing screen	BUILD	declares class CRF_PreviewMenu (not CRF_BriefingMenu)
Scripts/Game/Systems/UI/Menus/CRF_RespawnMenu.c	Deploy / respawn UI	BUILD	one-life variant
Scripts/Game/Systems/UI/Menus/CRF_AdminMenuUI.c	Admin menu	BUILD	respawn/reset gear/teleport/broadcast/heal/live settings
Scripts/Game/Systems/Core/Managers/Gamemode/UI/CRF_AdminMenuManager.c	Admin menu	BUILD	action audit log + help tickets
Scripts/Game/Systems/Core/Managers/Gamemode/Misc/CRF_PermissionManager.c	Admin permissions	BUILD	gates the admin menu
Scripts/Game/Systems/Core/Managers/Gamemode/Misc/CRF_MissionValidatorManager.c	Mission validation	BUILD	fail fast on a bad mission JSON
Scripts/Game/Systems/Core/Managers/Gamemode/Misc/CRF_LoggingManager.c	Logging	BUILD	thin
Scripts/Game/Systems/Core/Managers/Gamemode/Replication	Replication backbone	BUILD	thinner than CRF's broadcast manager
